Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
34,68-4026763,2022-04-01,2022-04-06,Second Class,871 UWZ,D,US,Paulbury,Rhode Island,00992,Region 3,NBCO38148443410560,Energy,"Oil, Gas & Consumable Fuels",7300,830,58.99,288.64
35,44-2982937,2022-01-11,2022-01-18,Second Class,9HH42,B,US,Christinefort,Utah,90269,Region 1,GAEH84858705886070,Real Estate,Real Estate Management & Development,8800,960,75.36,12.74
36,53-9941066,2022-03-03,2022-03-20,Standard Class,0ZB 683,A,US,West Lindseychester,Michigan,23787,Region 1,ACUA92818903086460,Industrials,Transportation Infrastructure,1500,900,83.68,496.9
37,51-1682647,2022-01-19,2022-04-04,Second Class,1GM 230,D,US,East Kristie,Virginia,22366,Region 3,ZJSQ48155233742276,Telecommunication Services,Wireless Telecommunication Services,1800,790,95.47,484.28
38,15-4344580,2022-03-11,2022-04-01,Second Class,2746 YW,D,US,New Pamelaland,Florida,27794,Region 2,TWDX94197983239136,Information Technology,Communications Equipment,2700,230,5.17,10.78
39,92-0740776,2022-04-05,2022-04-05,Standard Class,06-99498,C,US,Lake Danielberg,Pennsylvania,40176,Region 4,MEWA60327664169686,Telecommunication Services,Wireless Telecommunication Services,6500,410,18.68,773.02
40,71-2003137,2022-04-06,2022-04-08,Standard Class,OSE 498,D,US,Jacquelineberg,Kansas,76207,Region 1,QCUV42240674121958,Telecommunication Services,Diversified Telecommunication Services,4400,520,6.41,97.96
41,76-7645552,2022-02-03,2022-02-28,Second Class,0695,C,US,Lake Rhondatown,Pennsylvania,23097,Region 3,IRPQ69184817056784,Utilities,Independent Power and Renewable Electricity Producers,5700,620,71.02,613.81
42,41-3502479,2022-01-24,2022-01-29,First Class,850 VPV,C,US,Lake Scott,New York,89638,Region 0,JPWL49411238136886,Real Estate,Equity Real Estate Investment Trusts,5800,380,14.45,538.36
43,43-8927397,2022-04-03,2022-04-04,Standard Class,O43-22H,A,US,Shawnchester,New Hampshire,99646,Region 3,UFJL08345216721250,Utilities,Gas Utilities,6000,210,92.76,556.55
44,38-0546000,2022-03-11,2022-04-02,Standard Class,087 WJW,C,US,South Jason,North Carolina,84051,Region 3,SHXJ88557480444926,Materials,Chemicals,6600,930,36.7,519.35
45,35-5097019,2022-03-11,2022-03-17,Second Class,2BX8661,D,US,South Leahland,Louisiana,09278,Region 2,NREV25279190194297,Industrials,Commercial Services & Supplies,2900,290,89.49,895.25
46,37-9625850,2022-03-02,2022-03-11,Standard Class,ZST 856,C,US,Hawkinston,Idaho,73516,Region 3,KCPF63539147287804,Utilities,Electric Utilities,4600,700,84.4,13.79
47,03-9386802,2022-02-28,2022-03-05,Standard Class,19-GX94,A,US,North Juliaview,Minnesota,71847,Region 1,ONPM53708970506467,Information Technology,Communications Equipment,5200,410,35.01,471.72
48,20-7036331,2022-01-29,2022-03-24,Second Class,3WO N97,A,US,Kyleside,Oregon,71059,Region 1,AWLB87411201326525,Real Estate,Equity Real Estate Investment Trusts,6900,990,37.26,287.99
49,45-1886395,2022-01-11,2022-03-20,Second Class,ZGS 805,D,US,Port Kelly,Oregon,89913,Region 4,FMDP85523718694566,Financials,Consumer Finance,2300,990,80.4,852.53
50,23-2609917,2022-01-08,2022-03-17,First Class,F76-93L,C,US,Joneschester,Massachusetts,50357,Region 3,MTBE70055186937469,Utilities,Multi-Utilities,2900,1000,67.91,521.47
51,50-6574232,2022-04-01,2022-04-09,Second Class,ASS-5704,D,US,Coxport,South Carolina,77340,Region 3,WSVY47442926886664,Energy,"Oil, Gas & Consumable Fuels",8000,80,85.46,958.04
52,60-9402220,2022-03-23,2022-03-28,Standard Class,QFN 811,C,US,Singhtown,Minnesota,77385,Region 4,KIJG62196696547570,Industrials,Air Freight & Logistics,600,400,25.56,653.2
53,54-1545804,2022-03-19,2022-03-29,First Class,AEG-7867,C,US,South Michael,Utah,39397,Region 2,JYFZ28761296825285,Energy,Energy Equipment & Services,3000,660,89.88,300.75
54,40-2204260,2022-01-11,2022-03-01,First Class,68-A197,C,US,Osborneport,South Carolina,74333,Region 2,FAPZ07744710399936,Industrials,Transportation Infrastructure,1000,750,3.73,73.58
55,99-6173636,2022-01-17,2022-02-04,Second Class,BGI 857,C,US,Mooreborough,Mississippi,06971,Region 3,UFCW91506948857404,Financials,Diversified Financial Services,1000,380,48.19,377.17
56,21-4641552,2022-02-03,2022-02-16,Standard Class,155IMC,B,US,Mooremouth,Nebraska,01233,Region 4,GKFT49462270142851,Real Estate,Real Estate Management & Development,9200,320,0.84,648.19
57,37-5020835,2022-03-14,2022-04-08,Standard Class,KT 55927,A,US,Mosesport,New Hampshire,11527,Region 0,CRHD63546707183601,Consumer Discretionary,Household Durables,6600,180,64.7,330.09
58,72-4884903,2022-04-03,2022-04-07,First Class,X00 5EB,A,US,South Tyler,Kansas,82860,Region 4,VGXS47897859594175,Energy,"Oil, Gas & Consumable Fuels",2400,780,69.51,235.42
59,77-4457405,2022-02-03,2022-03-19,Standard Class,HND6716,B,US,Rebeccachester,Mississippi,59555,Region 2,CQCM25489627024106,Consumer Staples,Food Products,1100,80,65.44,311.95
60,25-7913266,2022-01-26,2022-03-04,Second Class,KYY-4546,D,US,Juliemouth,Oklahoma,44358,Region 0,IXDT30021178074576,Financials,Diversified Financial Services,1200,840,41.09,344.47
61,82-8926844,2022-04-01,2022-04-08,Second Class,XWP 161,D,US,Lake Shaunmouth,New Jersey,46506,Region 4,GVYN85193571820136,Telecommunication Services,Diversified Telecommunication Services,4500,730,18.31,718.22
62,43-6442230,2022-02-06,2022-02-23,Second Class,1EF45,C,US,East Debra,Washington,89908,Region 2,AEFJ25698975675965,Consumer Discretionary,Household Durables,7400,930,65.22,924.5
63,91-3661959,2022-02-04,2022-02-11,First Class,900 8ZF,C,US,Port Jennifertown,Colorado,31401,Region 1,QMXI61894197979740,Utilities,Gas Utilities,8000,200,80.25,524.32
64,16-9546003,2022-03-09,2022-04-04,Second Class,SCJ-349,B,US,West Rebeccaport,North Carolina,20562,Region 4,LEQS70036975640615,Information Technology,"Electronic Equipment, Instruments & Components",2400,830,34.01,254.3
65,38-1250120,2022-01-24,2022-03-04,Second Class,593-DCBK,B,US,Christinebury,Nebraska,36632,Region 4,UTQZ83676347490410,Industrials,Industrial Conglomerates,9500,600,15.64,309.91
66,95-6360856,2022-03-02,2022-03-26,Second Class,759J,B,US,Elizabethfort,Arizona,06939,Region 1,LUJA37219001381954,Energy,Energy Equipment & Services,100,390,34.23,810.64
67,90-1016540,2022-03-02,2022-03-17,Standard Class,IZB0746,D,US,Lake Laura,South Dakota,71999,Region 4,XXYS98849966981416,Consumer Staples,Tobacco,2300,220,39.5,542.2
68,54-9841981,2022-03-29,2022-04-07,Second Class,645-SZE,B,US,Montesport,Pennsylvania,12666,Region 1,AUCK06302789784803,Consumer Discretionary,Household Durables,10000,300,18.33,594.91
69,39-2058561,2022-01-29,2022-04-08,Second Class,0XP1050,D,US,Littleburgh,Minnesota,95652,Region 4,IJGU84678987108304,Materials,Paper & Forest Products,7800,680,26.63,960.9
70,11-9637669,2022-03-09,2022-04-08,Standard Class,1632 YW,C,US,New Jennymouth,West Virginia,85255,Region 3,ARXU55493879714005,Telecommunication Services,Wireless Telecommunication Services,3300,390,78.52,187.19
71,04-3751470,2022-03-17,2022-04-04,First Class,IPC8282,A,US,Sarahberg,Pennsylvania,04087,Region 1,OPDB51072283600665,Real Estate,Real Estate Management & Development,2600,440,66.44,754.59
72,43-2162483,2022-01-21,2022-03-02,Standard Class,GOW-0511,D,US,Lake Alicia,Pennsylvania,98116,Region 0,DWKA28681886955949,Telecommunication Services,Diversified Telecommunication Services,2500,540,66.23,525.01
73,30-8262967,2022-02-24,2022-02-26,Second Class,4MZE260,C,US,Port Melissaburgh,Utah,36990,Region 1,TRHU05301668299954,Real Estate,Real Estate Management & Development,2200,270,25.69,401.55
74,91-1693528,2022-02-23,2022-03-04,Standard Class,343 ZMI,D,US,Blackburnton,Alaska,31010,Region 4,QZLN58554557811548,Utilities,Multi-Utilities,6600,940,1.97,483.63
75,72-9905521,2022-04-04,2022-04-06,Second Class,768-ZGQ,A,US,South Aliciaberg,Iowa,28210,Region 3,KVXV89806154538545,Utilities,Multi-Utilities,2800,760,86.67,890.75
76,39-2543567,2022-03-09,2022-03-26,Second Class,MCY-9047,A,US,Johnsonburgh,Indiana,90698,Region 1,NNQY00872093840842,Information Technology,Semiconductors & Semiconductor Equipment,1100,270,90.23,543.55
77,55-0086211,2022-03-26,2022-04-08,Standard Class,TJY5179,C,US,Gonzalezfurt,California,84508,Region 2,YIEU95093468861968,Real Estate,Equity Real Estate Investment Trusts,4200,230,35.88,546.2
78,99-7707834,2022-02-24,2022-03-09,Standard Class,726 GOH,C,US,Lake Debramouth,Texas,08271,Region 0,ZZPM34185924853787,Telecommunication Services,Wireless Telecommunication Services,10000,400,27.64,430.1
79,30-9196293,2022-02-10,2022-02-26,First Class,Q61 0LL,A,US,New Briana,Wisconsin,05752,Region 0,NEKE45727353107874,Utilities,Gas Utilities,4300,200,45.7,130.72
80,92-8279478,2022-03-07,2022-03-30,Second Class,VHK 959,B,US,Phillipsview,Illinois,89881,Region 1,OGBA18235833562424,Information Technology,IT Services,7600,790,37.68,455.64
81,42-6245498,2022-03-11,2022-03-22,Second Class,100 1925,C,US,Port Shaneville,Nevada,61524,Region 0,GFIG93133471271697,Energy,"Oil, Gas & Consumable Fuels",3300,860,63.81,915.05
82,67-9842122,2022-04-07,2022-04-08,First Class,DRJ 684,C,US,New Hannah,Arizona,79793,Region 4,TSDU72913695556288,Industrials,Airlines,3100,940,11.61,263.78
83,23-1614388,2022-01-09,2022-01-20,Standard Class,32-L731,C,US,Rodrigueztown,New York,34825,Region 1,JZEO66842933076363,Materials,Containers & Packaging,6000,960,85.5,744.56
84,51-5750853,2022-01-30,2022-02-05,Second Class,065-OOU,B,US,Chavezfort,Colorado,12626,Region 2,YKQK08004541981353,Financials,Capital Markets,2500,720,89.9,537.21
85,51-5804904,2022-02-09,2022-03-10,First Class,290-YYJ,D,US,Welchchester,Missouri,34005,Region 2,BAOO33264021715240,Financials,Capital Markets,4000,70,66.3,871.71
86,05-3827256,2022-01-10,2022-03-25,Second Class,98KM432,D,US,Eduardomouth,Arizona,81108,Region 0,SAAB26567949108945,Energy,Energy Equipment & Services,1200,120,54.4,260.16
87,81-7715241,2022-02-26,2022-04-06,First Class,2Q 2K4GZK,A,US,Jeanetteburgh,Wyoming,66978,Region 0,SVMS77923828388326,Real Estate,Equity Real Estate Investment Trusts,2800,760,23.09,975.61
88,68-7404108,2022-01-05,2022-02-02,Second Class,DFA-2701,B,US,Veronicahaven,Louisiana,97865,Region 1,BZFL95287168202305,Energy,"Oil, Gas & Consumable Fuels",7000,540,51.0,321.93
89,32-7491517,2022-02-17,2022-02-20,Second Class,OPG T81,D,US,Josephfurt,Maine,97120,Region 4,VFLS82729212570733,Energy,Energy Equipment & Services,7300,40,20.55,906.71
90,24-8289738,2022-02-09,2022-03-23,First Class,ZCY 536,A,US,Jenningsport,Wyoming,95412,Region 3,OQZU10042473946325,Utilities,Water Utilities ,700,960,55.91,823.0
91,90-8168482,2022-03-16,2022-04-05,Standard Class,9-17919,C,US,Melanieland,South Carolina,90802,Region 1,JNBL33295490742564,Consumer Discretionary,Household Durables,2200,400,66.01,790.26
92,88-9125914,2022-02-28,2022-03-20,First Class,THY-3512,B,US,East Melanie,Georgia,43014,Region 2,AKHY38754769652875,Telecommunication Services,Wireless Telecommunication Services,4300,730,2.71,343.3
93,85-9113656,2022-03-30,2022-04-02,Second Class,2SH S55,D,US,Heatherview,West Virginia,02614,Region 4,TWWY22443851950258,Industrials,Air Freight & Logistics,3000,250,30.14,665.96
94,75-6478943,2022-03-20,2022-04-03,First Class,QJT 867,A,US,Briggsstad,Louisiana,40742,Region 3,QAAN35954977222567,Utilities,Electric Utilities,2000,500,30.13,667.89
95,82-9111975,2022-03-10,2022-03-22,Second Class,280-KAV,D,US,South Douglas,Montana,93159,Region 1,WBCV41200387033854,Materials,Containers & Packaging,1700,160,93.43,975.75
96,90-8089427,2022-01-01,2022-01-17,Standard Class,VT2 M3P,D,US,Brewertown,Massachusetts,87677,Region 0,RDMM59409271161901,Health Care,Health Care Technology,100,580,91.88,771.64
97,42-0695108,2022-03-01,2022-03-16,Standard Class,3SV4392,C,US,Mayton,Arizona,97013,Region 0,GJPU99603851612365,Energy,Energy Equipment & Services,2700,870,38.8,692.02
98,68-1866054,2022-02-26,2022-03-11,Standard Class,P 783776,D,US,Davisland,New York,88199,Region 3,VIHM31379239961791,Industrials,Marine,7900,790,33.5,748.28
99,74-8274181,2022-03-28,2022-03-29,Second Class,543 0DB,C,US,Murphymouth,Nevada,10862,Region 3,MFZK26280791399968,Materials,Paper & Forest Products,5800,580,72.94,742.21
100,98-2012894,2022-01-28,2022-03-09,Second Class,9ZW3806,C,US,Thompsonton,Illinois,82140,Region 3,MGKT14185655159370,Information Technology,IT Services,400,70,8.44,765.31
101,38-0022975,2022-03-18,2022-03-26,Second Class,0UU V85,C,US,East Arthurmouth,Georgia,02244,Region 2,XIXM13518039191179,Information Technology,Semiconductors & Semiconductor Equipment,5700,220,69.58,506.81
102,44-2343471,2022-02-08,2022-03-13,First Class,L 002751,B,US,North Timothy,Kentucky,81243,Region 2,PDZK98171657232200,Real Estate,Equity Real Estate Investment Trusts,3200,690,6.54,428.38
103,01-1377760,2022-02-18,2022-04-06,Standard Class,ADK-418,C,US,Port Ruben,Iowa,90648,Region 1,TDUV63759014077614,Utilities,Water Utilities ,700,210,93.78,842.11
104,25-3912724,2022-01-16,2022-03-18,First Class,894 LZY,D,US,Jenniferport,Maine,15776,Region 0,AQHZ98324339186446,Health Care,Health Care Technology,4900,940,43.6,298.28
105,51-4354483,2022-03-19,2022-03-23,First Class,IBW N43,D,US,Soniaberg,New Hampshire,22049,Region 3,ZBCG96965507173585,Information Technology,"Electronic Equipment, Instruments & Components",1200,870,3.65,660.57
106,21-2135127,2022-02-17,2022-03-18,First Class,08U•920,A,US,Vazquezborough,Texas,14360,Region 0,AECX88777856145322,Industrials,Building Products,7000,150,42.35,267.78
107,40-3943068,2022-02-28,2022-03-12,First Class,23-MO35,C,US,Jeremyview,Missouri,82182,Region 0,VJEA95619289104361,Industrials,Construction & Engineering,8200,140,85.79,4.93
108,55-9375139,2022-02-07,2022-02-18,Second Class,QHS-3384,A,US,Lloydborough,Iowa,46670,Region 2,EWNQ50274605872615,Consumer Staples,Food Products,7100,900,60.19,730.6
109,64-9247742,2022-02-07,2022-03-26,First Class,1-L2400,D,US,North Lauraview,South Dakota,17771,Region 3,YRQX60790478139765,Real Estate,Equity Real Estate Investment Trusts,3100,270,84.28,489.86
110,99-5542696,2022-01-08,2022-01-26,Second Class,HIE 174,A,US,East Amyfort,Arizona,46789,Region 4,KFQD32233211693620,Energy,Energy Equipment & Services,2200,20,31.0,814.65
111,62-6425869,2022-02-13,2022-03-18,First Class,37QY3,D,US,Bryanton,Mississippi,38343,Region 2,QNQY87922901535234,Industrials,Marine,2000,540,36.19,763.81
112,64-4361875,2022-03-17,2022-03-22,First Class,7-23097O,C,US,Michaelshire,Montana,76360,Region 0,DFLU34208060802308,Information Technology,"Technology Hardware, Storage & Peripherals",8000,230,20.6,835.76
113,04-1277891,2022-02-23,2022-03-06,Second Class,6ZHE864,A,US,West Feliciaborough,Nevada,58475,Region 0,HCUM97281198998925,Financials,Consumer Finance,6800,570,44.92,349.28
114,50-4935497,2022-02-23,2022-03-02,Second Class,9D 5850E,A,US,New Nancyburgh,Colorado,74859,Region 1,BVFS87323425618922,Consumer Staples,Tobacco,500,560,49.96,401.06
115,72-4823656,2022-02-22,2022-03-04,Standard Class,453XKP,A,US,Adamview,North Dakota,82900,Region 1,LFWJ03485847294741,Materials,Chemicals,5400,680,20.54,219.2
116,16-2845468,2022-02-23,2022-02-26,Second Class,G04 1QN,C,US,New Amanda,West Virginia,51604,Region 4,BIKN18768543962436,Consumer Discretionary,"Hotels, Restaurants & Leisure",1100,330,95.76,435.03
117,84-3445728,2022-03-23,2022-03-28,Second Class,CO-2208,C,US,Maxville,New Jersey,74341,Region 4,UYWB18569856927098,Energy,Energy Equipment & Services,800,690,67.81,361.17
118,02-5934104,2022-02-03,2022-02-18,Second Class,1FU23,A,US,Castilloberg,Montana,91669,Region 1,YMZF99501063080621,Information Technology,"Electronic Equipment, Instruments & Components",6000,110,20.61,769.7
119,51-7966541,2022-03-10,2022-03-23,Standard Class,6R 0A1QKJ,A,US,Ellisburgh,New York,05011,Region 1,VMWE29095194862843,Information Technology,Communications Equipment,6000,620,47.62,689.85
120,35-4751737,2022-03-29,2022-04-07,Standard Class,5N DW550,D,US,Rodriguezshire,Iowa,76650,Region 2,QDIT10444936451950,Utilities,Independent Power and Renewable Electricity Producers,8200,430,55.54,7.4
121,52-6227290,2022-04-01,2022-04-06,Standard Class,363 SKD,A,US,Karenmouth,Montana,73212,Region 4,ZUTG50995054956658,Consumer Discretionary,Leisure Products,9300,260,24.34,921.23
122,67-2004722,2022-03-06,2022-03-24,Second Class,585 TOQ,A,US,Port Susan,Montana,36214,Region 0,VPZS02754192975875,Telecommunication Services,Diversified Telecommunication Services,3400,460,13.53,838.63
123,73-7877327,2022-02-23,2022-03-08,Second Class,000 BMU,C,US,Port Jason,Michigan,72023,Region 4,TQRR18812477810939,Health Care,Pharmaceuticals,4900,170,51.58,615.01
124,50-6593281,2022-01-12,2022-01-26,Second Class,3SX1279,A,US,Port Cody,Michigan,99027,Region 4,JJXF58453894877486,Health Care,Biotechnology,400,960,30.96,478.26
125,20-0147586,2022-02-26,2022-03-29,Standard Class,SS-6378,A,US,Paynemouth,California,98716,Region 0,IMNR39088171382706,Health Care,Life Sciences Tools & Services,5400,370,95.04,574.22
126,54-3653349,2022-03-29,2022-03-31,Second Class,OLK Q74,D,US,South Angela,Florida,08626,Region 2,EULO65352173858906,Utilities,Gas Utilities,7400,440,36.45,3.91
127,13-9940948,2022-02-09,2022-02-15,Second Class,57T•668,D,US,Scottmouth,North Carolina,67591,Region 3,PBRD02597085000296,Consumer Discretionary,Automobiles,6600,830,61.53,752.21
128,30-8420974,2022-01-28,2022-03-06,First Class,KGN-401,B,US,Robertside,Maryland,59527,Region 1,DVDG58232831815324,Consumer Discretionary,Distributors,5900,510,61.17,286.6
129,51-6448027,2022-03-10,2022-03-29,First Class,DHO 252,D,US,Moniquemouth,Maryland,16573,Region 3,HKYM46987129036161,Utilities,Water Utilities ,9600,100,6.6,942.22
130,63-9355790,2022-02-18,2022-04-04,Second Class,TMS-290,C,US,South Christopher,Hawaii,41632,Region 4,TRKU74554919071376,Consumer Staples,Household Products,100,100,44.94,793.98
131,75-5983861,2022-01-17,2022-03-26,Second Class,21BW640,D,US,North Toddport,Maryland,72702,Region 4,DLBV01121083557138,Industrials,Road & Rail,800,900,26.36,216.96
132,04-0700127,2022-02-22,2022-03-24,Standard Class,H15-45T,C,US,Lake Stephen,Missouri,53963,Region 1,AUZF36406835453472,Consumer Discretionary,Media,7800,740,81.55,589.34
133,39-3060325,2022-02-02,2022-02-20,Second Class,LHO-4961,B,US,South Natalie,North Dakota,27132,Region 4,YMTN84420174648550,Consumer Staples,Personal Products,3500,140,54.53,624.54
134,38-3694440,2022-03-17,2022-03-25,Standard Class,7VG L69,D,US,South Amandaport,Washington,81632,Region 4,IHEJ06023282660573,Energy,"Oil, Gas & Consumable Fuels",5300,740,99.94,965.04
135,21-0563561,2022-03-03,2022-04-06,Second Class,YTZ 6158,B,US,Port Reneeport,Massachusetts,05408,Region 2,LXSQ83147305642693,Health Care,Life Sciences Tools & Services,7900,360,2.69,970.33
136,48-9210117,2022-02-10,2022-02-19,Standard Class,150 NQW,C,US,Port Kyle,Tennessee,65212,Region 2,THRI05917470727699,Materials,Paper & Forest Products,3600,150,80.92,677.69
137,16-4748901,2022-01-22,2022-03-08,Second Class,ZBS 691,D,US,Kimberlyfurt,Connecticut,85445,Region 4,CMHY87923855233513,Health Care,Health Care Technology,2500,30,34.41,581.54
138,37-0509069,2022-01-22,2022-02-09,Second Class,HVC 314,B,US,New Dawnview,Wisconsin,50868,Region 0,GYJW07452863495871,Utilities,Independent Power and Renewable Electricity Producers,7600,660,0.43,65.65
139,54-9102763,2022-03-10,2022-03-10,Standard Class,3276,C,US,West Laura,North Dakota,55312,Region 2,VSMC92130371911989,Materials,Construction Materials,6900,620,85.03,827.64
140,83-9559390,2022-03-04,2022-03-28,Standard Class,LLP 641,D,US,New Dennisfort,New Jersey,88883,Region 1,UJII44007995841454,Consumer Discretionary,Media,400,750,57.26,936.16
141,35-2255173,2022-03-03,2022-03-19,First Class,607940,C,US,North Lisa,New Mexico,06391,Region 1,BTYR59169609734797,Consumer Discretionary,Automobiles,7000,80,22.62,181.12
